 28 Feb,  59, 2248,  31,  40,  25, 162,   4,   -2.7,   -1.0, 1+2, 13.0
 28 Feb,  59, 2218,  45,  51,  37, 174,   8,   -1.1,   -0.8, 1+2, 13.0
 28 Feb,  59, 2148,  33,  45,  28, 170,   7,   -0.6,   -0.8, 1+2, 12.9
 28 Feb,  59, 2118,  31,  41,  21, 180,  11,   -0.7,   -1.3, 1+2, 12.8
 28 Feb,  59, 2048,  30,  44,  21, 186,  23,   -0.7,    0.1, 1+2, 12.7
 28 Feb,  59, 2018,  35,  44,  29, 178,  11,   -1.3,   -1.5, 1+2, 12.6
 28 Feb,  59, 1948,  39,  50,  29, 183,  14,   -0.6,   -0.9, 1+2, 12.5
 28 Feb,  59, 1918,  38,  44,  32, 190,   4,   -0.2,   -0.6, 1+2, 12.3
 28 Feb,  59, 1848,  42,  47,  35, 195,   6,   -0.2,   -0.4, 1+2, 12.1
 28 Feb,  59, 1818,  27,  31,  24, 175,   4,   -3.3,   -4.3, 1+2, 11.9
 28 Feb,  59, 1748,  18,  22,  14, 164,   4,   -3.5,   -4.1, 1+2, 11.7
 28 Feb,  59, 1718,  19,  24,  14, 140,   8,   -3.7,   -3.8, 1+2, 11.6
 28 Feb,  59, 1648,  32,  36,  27, 122,   3,   -5.0,   -4.8, 1+2, 11.5
 28 Feb,  59, 1618,  33,  46,  23, 108,   6,   -3.8,   -3.8, 1+2, 11.4
 28 Feb,  59, 1548,  50,  54,  43, 106,   2,   -4.6,   -4.7, 1+2, 11.3
 28 Feb,  59, 1518,  56,  64,  45, 104,   2,   -4.4,   -4.4, 1+2, 11.3
 28 Feb,  59, 1448,  56,  63,  48, 108,   2,   -4.8,   -4.1, 1+2, 11.3
 28 Feb,  59, 1418,  59,  64,  48, 109,   2,   -4.6,   -4.1, 1+2, 11.3
 28 Feb,  59, 1348,  48,  52,  42, 109,   4,   -5.3,   -3.9, 1+2, 11.3
 28 Feb,  59, 1318,  45,  52,  35, 116,   2,   -4.3,   -3.8, 1+2, 11.3
 28 Feb,  59, 1248,  48,  52,  42, 119,   2,   -4.4,   -3.4, 1+2, 11.4
 28 Feb,  59, 1218,  43,  50,  36, 130,   7,   -4.1,   -3.8, 1+2, 11.6
 28 Feb,  59, 1148,  43,  50,  36, 140,   4,   -3.6,   -3.6, 1+2, 11.7
 28 Feb,  59, 1118,  43,  48,  34, 141,   3,   -4.3,   -3.6, 1+2, 11.9
 28 Feb,  59, 1048,  42,  53,   0, 172,   1,   -3.4,   -3.9, 1+2, 12.1
 28 Feb,  59, 1018,  42,  51,   0, 169,   2,   -3.5,   -3.6, 1+2, 12.3
 28 Feb,  59, 0948,  38,  43,  30, 168,   5,   -3.5,   -6.1, 1+2, 12.4
 28 Feb,  59, 0918,  37,  46,  29, 173,   8,   -3.6,   -3.2, 1+2, 12.6
 28 Feb,  59, 0848,  37,  42,  29, 180,   6,   -4.4,   -5.2, 1+2, 12.7
 28 Feb,  59, 0818,  32,  39,  23, 196,   4,   -5.0,   -4.2, 1+2, 12.7
 28 Feb,  59, 0748,  24,  31,  18, 189,   4,   -5.7,   -6.4, 1+2, 12.8
 28 Feb,  59, 0718,  11,  34,   0, 189,   5,   -4.5,   -4.9, 1+2, 12.8
 28 Feb,  59, 0648,   10,  34,   0, 198,   5,   -4.2,   -4.1, 1+2, 12.8
 28 Feb,  59, 0618,  11,  32,   0, 172,   8,   -3.7,   -3.9, 1+2, 12.8
 28 Feb,  59, 0548,  21,  47,   0, 187,  12,   -4.0,   -4.2, 1+2, 12.8
 28 Feb,  59, 0518,  47,  56,  34, 163,   5,   -3.6,   -4.2, 1+2, 12.8
 28 Feb,  59, 0448,  12,  50,   0, 235,   1,   -3.7,   -3.2, 1+2, 12.7
 28 Feb,  59, 0418,  13,  42,   0, 238,   10,   -3.4,   -3.9, 1+2, 12.7
 28 Feb,  59, 0348,  24,  44,   0, 248,   4,   -1.9,   -4.2, 1+2, 12.6
 28 Feb,  59, 0318,  39,  49,  28, 289,   6,   -3.1,   -3.5, 1+2, 12.6
 28 Feb,  59, 0248,  36,  45,  29, 242,   5,   -3.0,   -3.0, 1+2, 12.5
